MsgID.GLOBAL_POSITION,1526390772.9456429,-122.3974487,37.7924811,0.0890000
MsgID.LOCAL_VELOCITY,1526390772.9456429,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1526390772.9459891,0.0761509,0.3933142,-0.0873397
MsgID.LOCAL_VELOCITY,1526390772.9459891,0.0000079,-0.0000127,0.0000186
MsgID.GLOBAL_POSITION,1526390772.9462919,-122.3974506,37.7924797,0.0720000
MsgID.LOCAL_VELOCITY,1526390772.9462919,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1526390772.9465442,-0.0830937,0.2391337,-0.0722489
MsgID.LOCAL_VELOCITY,1526390772.9465442,-0.0000022,-0.0000054,0.0000161
MsgID.GLOBAL_POSITION,1526390772.9467621,-122.3974514,37.7924783,0.0730000
MsgID.LOCAL_VELOCITY,1526390772.9467621,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1526390772.9470100,-0.2396670,0.1639742,-0.0736670
MsgID.LOCAL_VELOCITY,1526390772.9470100,-0.0000155,0.0000100,0.0000087
MsgID.GLOBAL_POSITION,1526390772.9472370,-122.3974494,37.7924791,0.0920000
MsgID.LOCAL_VELOCITY,1526390772.9472370,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1526390772.9474900,-0.1433025,0.3435613,-0.0929806
MsgID.LOCAL_VELOCITY,1526390772.9474900,-0.0000038,-0.0000066,0.0000202
MsgID.STATE,1526390772.9478941,True,True
MsgID.GLOBAL_HOME,1526390772.9485121,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,1526390772.9856372,-122.3974493,37.7924799,0.1240000
MsgID.LOCAL_VELOCITY,1526390772.9856372,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1526390772.9961269,-0.0542466,0.3527026,-0.1246705
MsgID.LOCAL_VELOCITY,1526390772.9961269,-0.0000157,-0.0000078,0.0000183
MsgID.GLOBAL_POSITION,1526390773.2349880,-122.3974498,37.7924799,0.1600000
MsgID.LOCAL_VELOCITY,1526390773.2349880,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1526390773.2474041,-0.0522980,0.3043814,-0.1607128
MsgID.LOCAL_VELOCITY,1526390773.2474041,0.0000077,0.0000275,0.0000187
MsgID.GLOBAL_POSITION,1526390773.4864409,-122.3974501,37.7924799,0.1910000
MsgID.LOCAL_VELOCITY,1526390773.4864409,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1526390773.4969852,-0.0523032,0.2840201,-0.1916956
MsgID.LOCAL_VELOCITY,1526390773.4969852,-0.0000307,-0.0000214,0.0000151
MsgID.GLOBAL_POSITION,1526390773.7364101,-122.3974514,37.7924800,0.2090000
MsgID.LOCAL_VELOCITY,1526390773.7364101,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1526390773.7468920,-0.0480703,0.1628834,-0.2094978
MsgID.LOCAL_VELOCITY,1526390773.7468920,0.0000052,0.0000020,0.0000100
MsgID.STATE,1526390773.9142630,True,True
MsgID.GLOBAL_HOME,1526390824.3915470,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,1526390824.3917482,-122.3974499,37.7924809,0.2090000
MsgID.LOCAL_VELOCITY,1526390824.3917482,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1526390824.3919990,0.0588932,0.2954862,-0.2096954
MsgID.LOCAL_VELOCITY,1526390824.3919990,0.0000165,0.0000080,0.0000147
MsgID.GLOBAL_POSITION,1526390824.3921940,-122.3974487,37.7924804,0.1920000
MsgID.LOCAL_VELOCITY,1526390824.3921940,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1526390824.3923700,-0.0190915,0.3951832,-0.1901774
MsgID.LOCAL_VELOCITY,1526390824.3923700,0.0000077,-0.0000032,0.0000223
MsgID.GLOBAL_POSITION,1526390824.3925371,-122.3974500,37.7924787,0.1580000
MsgID.LOCAL_VELOCITY,1526390824.3925371,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1526390824.3927009,-0.1929096,0.2876118,-0.1586973
MsgID.LOCAL_VELOCITY,1526390824.3927009,0.0000069,-0.0000096,0.0000162
MsgID.GLOBAL_POSITION,1526390824.3928640,-122.3974485,37.7924785,0.1150000
MsgID.LOCAL_VELOCITY,1526390824.3928640,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1526390824.3930261,-0.2128793,0.4253219,-0.1123613
MsgID.LOCAL_VELOCITY,1526390824.3930261,0.0000155,-0.0000035,0.0000195
MsgID.GLOBAL_HOME,1526390824.3932290,-122.3974533,37.7924804,0.0000000
MsgID.STATE,1526390824.3934872,True,True
MsgID.GLOBAL_POSITION,1526390824.3940549,-122.3974500,37.7924792,0.0670000
MsgID.LOCAL_VELOCITY,1526390824.3940549,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1526390824.3942468,-0.1316139,0.2886596,-0.0677424
MsgID.LOCAL_VELOCITY,1526390824.3942468,0.0000041,0.0000008,0.0000173
MsgID.GLOBAL_POSITION,1526390824.3944399,-122.3974509,37.7924807,0.0220000
MsgID.LOCAL_VELOCITY,1526390824.3944399,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1526390824.3946071,0.0339497,0.2149707,-0.0193788
MsgID.LOCAL_VELOCITY,1526390824.3946071,0.0000014,-0.0000104,0.0000114
MsgID.GLOBAL_POSITION,1526390824.3947892,-122.3974501,37.7924802,-0.0150000
MsgID.LOCAL_VELOCITY,1526390824.3947892,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1526390824.3949518,-0.0288518,0.2801203,0.0157003
